"filename", "language", "Python", "XML", "C++", "reStructuredText", "Properties", "JSON", "ROS Message", "comment", "blank", "total"
"/home/nvidia/code/movebase_comment/base_local_planner/src/goal_functions.cpp", "C++", 0, 0, 179, 0, 0, 0, 0, 45, 22, 246
"/home/nvidia/code/movebase_comment/base_local_planner/src/latched_stop_rotate_controller.cpp", "C++", 0, 0, 194, 0, 0, 0, 0, 40, 46, 280
"/home/nvidia/code/movebase_comment/base_local_planner/src/local_planner_limits/__init__.py", "Python", 19, 0, 0, 0, 0, 0, 0, 12, 11, 42
"/home/nvidia/code/movebase_comment/base_local_planner/src/local_planner_util.cpp", "C++", 0, 0, 68, 0, 0, 0, 0, 40, 21, 129
"/home/nvidia/code/movebase_comment/base_local_planner/src/map_cell.cpp", "C++", 0, 0, 15, 0, 0, 0, 0, 33, 5, 53
"/home/nvidia/code/movebase_comment/base_local_planner/src/map_grid.cpp", "C++", 0, 0, 230, 0, 0, 0, 0, 42, 38, 310
"/home/nvidia/code/movebase_comment/base_local_planner/src/map_grid_cost_function.cpp", "C++", 0, 0, 77, 0, 0, 0, 0, 41, 14, 132
"/home/nvidia/code/movebase_comment/base_local_planner/src/map_grid_visualizer.cpp", "C++", 0, 0, 52, 0, 0, 0, 0, 33, 11, 96
"/home/nvidia/code/movebase_comment/base_local_planner/src/obstacle_cost_function.cpp", "C++", 0, 0, 86, 0, 0, 0, 0, 44, 23, 153
"/home/nvidia/code/movebase_comment/base_local_planner/src/odometry_helper_ros.cpp", "C++", 0, 0, 54, 0, 0, 0, 0, 41, 12, 107
"/home/nvidia/code/movebase_comment/base_local_planner/src/oscillation_cost_function.cpp", "C++", 0, 0, 114, 0, 0, 0, 0, 44, 21, 179
"/home/nvidia/code/movebase_comment/base_local_planner/src/point_grid.cpp", "C++", 0, 0, 350, 0, 0, 0, 0, 116, 91, 557
"/home/nvidia/code/movebase_comment/base_local_planner/src/point_grid_node.cpp", "C++", 0, 0, 129, 0, 0, 0, 0, 52, 41, 222
"/home/nvidia/code/movebase_comment/base_local_planner/src/prefer_forward_cost_function.cpp", "C++", 0, 0, 13, 0, 0, 0, 0, 9, 7, 29
"/home/nvidia/code/movebase_comment/base_local_planner/src/simple_scored_sampling_planner.cpp", "C++", 0, 0, 95, 0, 0, 0, 0, 47, 12, 154
"/home/nvidia/code/movebase_comment/base_local_planner/src/simple_trajectory_generator.cpp", "C++", 0, 0, 181, 0, 0, 0, 0, 83, 33, 297
"/home/nvidia/code/movebase_comment/base_local_planner/src/trajectory.cpp", "C++", 0, 0, 39, 0, 0, 0, 0, 33, 9, 81
"/home/nvidia/code/movebase_comment/base_local_planner/src/trajectory_planner.cpp", "C++", 0, 0, 666, 0, 0, 0, 0, 179, 157, 1002
"/home/nvidia/code/movebase_comment/base_local_planner/src/trajectory_planner_ros.cpp", "C++", 0, 0, 402, 0, 0, 0, 0, 105, 111, 618
"/home/nvidia/code/movebase_comment/base_local_planner/src/twirling_cost_function.cpp", "C++", 0, 0, 7, 0, 0, 0, 0, 6, 6, 19
"/home/nvidia/code/movebase_comment/base_local_planner/src/voxel_grid_model.cpp", "C++", 0, 0, 207, 0, 0, 0, 0, 59, 49, 315
"/home/nvidia/code/movebase_comment/base_local_planner/test/footprint_helper_test.cpp", "C++", 0, 0, 99, 0, 0, 0, 0, 17, 30, 146
"/home/nvidia/code/movebase_comment/base_local_planner/test/gtest_main.cpp", "C++", 0, 0, 7, 0, 0, 0, 0, 6, 6, 19
"/home/nvidia/code/movebase_comment/base_local_planner/test/line_iterator_test.cpp", "C++", 0, 0, 48, 0, 0, 0, 0, 28, 6, 82
"/home/nvidia/code/movebase_comment/base_local_planner/test/map_grid_test.cpp", "C++", 0, 0, 163, 0, 0, 0, 0, 11, 33, 207
"/home/nvidia/code/movebase_comment/base_local_planner/test/trajectory_generator_test.cpp", "C++", 0, 0, 12, 0, 0, 0, 0, 6, 9, 27
"/home/nvidia/code/movebase_comment/base_local_planner/test/utest.cpp", "C++", 0, 0, 137, 0, 0, 0, 0, 48, 31, 216
"/home/nvidia/code/movebase_comment/base_local_planner/test/velocity_iterator_test.cpp", "C++", 0, 0, 125, 0, 0, 0, 0, 35, 19, 179
"/home/nvidia/code/movebase_comment/base_local_planner/test/wavefront_map_accessor.h", "C++", 0, 0, 30, 0, 0, 0, 0, 11, 10, 51
"Total", "-", 26, 50, 5272, 173, 33, 425, 2, 3483, 1506, 10970
